Year,Week Number,Unique Identifier,Start Day,Start Month,End Day,End Month,Christened (Male),Christened (Female),Christened (In All)
1703,28,Laxton-1703-28-verso,22,June,29,June,130,125,255
1703,29,Laxton-1703-29-verso,29,June,6,July,141,146,287
1703,30,Laxton-1703-30-verso,6,July,13,July,143,152,295
1703,31,Laxton-1703-31-verso,13,July,20,July,143,137,280
1703,32,Laxton-1703-32-verso,20,July,27,July,129,120,249
1703,33,Laxton-1703-33-verso,27,July,3,August,132,141,273
1703,34,Laxton-1703-34-verso,3,August,10,August,152,147,299
1703,35,Laxton-1703-35-verso,10,August,17,August,128,134,262
1703,36,Laxton-1703-36,17,August,24,August,157,162,319
1703,37,Laxton-1703-37-verso,24,August,31,August,145,138,283
1703,38,"Laxton-1703-38-verso""",31,August,7,September,152,156,308
1703,39,Laxton-1703-39-verso,7,September,14,September,171,183,354
1703,40,Laxton-1703-40-recto,14,September,21,September,123,126,249
1703,41,Laxton-1703-41-verso,21,September,28,September,154,143,297
1703,42,Laxton-1703-42-verso,28,September,5,October,172,179,351
1703,43,Laxton-1703-43-verso,5,October,12,October,177,159,336
1703,44,Laxton-1703-44-verso,12,October,19,October,143,160,303
1703,45,Laxton-1703-45-verso,19,October,26,October,169,152,321
1703,46,Laxton-1703-46-verso,26,October,2,November,170,183,353
1703,47,Laxton-1703-47-verso,2,November,9,November,172,166,338
1703,48,Laxton-1703-48-verso,9,November,16,November,157,148,305
1703,49,Laxton-1703-49-verso,16,November,23,November,152,160,312
1710,33,Laxton-1710-33-verso,,,1,August,150,128,278
1752,38,Laxton-1752-38-verso,,,1,September,159,121,280
1722,44,Laxton-1722-44-verso,,,16,October,199,162,351
1732,37,Laxton-1732-37-verso,,,29,August,190,155,345
1740,53,Laxton-1740-53-verso,,,16,December,159,122,281
1700,1,Laxton-1700-01-verso,17,December,24,December,136,106,242
1700,2,Laxton-1700-02-verso,24,December,31,December,175,139,314
1700,3,Laxton-1700-03-verso,31,December,7,January,169,158,327
1700,4,Laxton-1700-4-verso,7,January,14,January,152,120,272
1700,5,Laxton-1700-05-verso,14,January,21,January,163,153,316
1700,6,Laxton-1700-06-verso,21,January,28,January,166,160,326
1700,7,Laxton-1700-07-verso,28,January,4,February,193,151,344
1700,8,Laxton-1700-08-verso,4,February,11,February,160,161,321
1700,9,Laxton-1700-09-verso,11,February,18,February,166,162,328
1700,10,Laxton-1700-10-verso,18,February,25,February,163,177,340
1700,11,Laxton-1700-11-verso,25,February,4,March,154,161,315
1700,12,Laxton-1700-12-verso,4,March,11,March,157,138,295
1700,13,Laxton-1700-13-verso,11,March,18,March,157,148,305
1701,1,Laxton-1701-01-verso,16,December,23,December,140,120,260
1701,2,Laxton-1701-02-verso,23,December,30,December,137,115,252
1701,3,Laxton-1701-03-verso,30,December,6,January,173,149,322
1701,4,Laxton-1701-04-verso,6,January,13,January,136,155,291
1701,5,Laxton-1701-05-verso,13,January,20,January,146,147,293
1701,6,Laxton-1701-06-verso,20,January,27,January,145,136,281
1701,7,Laxton-1701-07-verso,27,January,3,February,156,133,289
