"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,is_missing,is_illegible,"Week Number",is_missing,is_illegible,"Unique Identifier",is_missing,is_illegible,"Start Day",is_missing,is_illegible,"Start Month",is_missing,is_illegible,"End Day",is_missing,is_illegible,"End Month",is_missing,is_illegible,Abortive,is_missing,is_illegible,Aged,is_missing,is_illegible,Ague,is_missing,is_illegible,Apoplexy,is_missing,is_illegible,Asthma,is_missing,is_illegible,Bed-ridden,is_missing,is_illegible,Blasted,is_missing,is_illegible,Bleeding,is_missing,is_illegible,Bloody-flux,is_missing,is_illegible,Calenture,is_missing,is_illegible,Cancer,is_missing,is_illegible,Canker,is_missing,is_illegible,"Chicken Pox",is_missing,is_illegible,Child-Bed,is_missing,is_illegible,Chrisoms,is_missing,is_illegible,Cold,is_missing,is_illegible,Colick,is_missing,is_illegible,Consumption,is_missing,is_illegible,Convulsion,is_missing,is_illegible,Cough,is_missing,is_illegible,Cramp,is_missing,is_illegible,Diabetes,is_missing,is_illegible,Dropsie,is_missing,is_illegible,Drowned,is_missing,is_illegible,"Drowned (Descriptive Text)",is_missing,is_illegible,Executed,is_missing,is_illegible,"Executed (Descriptive Text)",is_missing,is_illegible,Falling-sickness,is_missing,is_illegible,Fever,is_missing,is_illegible,Fistula,is_missing,is_illegible,"Flox and Small-Pox",is_missing,is_illegible,"Flox and Small-Pox (Descriptive Text)",is_missing,is_illegible,Flux,is_missing,is_illegible,"Found dead",is_missing,is_illegible,"Found Dead (Descriptive Text)",is_missing,is_illegible,French-Pox,is_missing,is_illegible,Frets,is_missing,is_illegible,Gangreen,is_missing,is_illegible,Gout,is_missing,is_illegible,Gravel,is_missing,is_illegible,Grief,is_missing,is_illegible,"Griping in the Guts",is_missing,is_illegible,Headache,is_missing,is_illegible,Headmouldshot,is_missing,is_illegible,"Hooping Cough",is_missing,is_illegible,Hiccough,is_missing,is_illegible,Horshoehead,is_missing,is_illegible,Impostume,is_missing,is_illegible,Infants,is_missing,is_illegible,Inflammation,is_missing,is_illegible,Itch,is_missing,is_illegible,Jaundies,is_missing,is_illegible,Jaw-fallen,is_missing,is_illegible,"Kings Evil",is_missing,is_illegible,Leprosie,is_missing,is_illegible,Lethargy,is_missing,is_illegible,Liver-grown,is_missing,is_illegible,Looseness,is_missing,is_illegible,"Lunatick and Frenzy",is_missing,is_illegible,"Malignant Fever",is_missing,is_illegible,Meagrim,is_missing,is_illegible,Measles,is_missing,is_illegible,Miscarriage,is_missing,is_illegible,Mortification,is_missing,is_illegible,Mother,is_missing,is_illegible,"Noli me tangere",is_missing,is_illegible,Overlaid,is_missing,is_illegible,Palsie,is_missing,is_illegible,Plague,is_missing,is_illegible,Planet,is_missing,is_illegible,Plurisie,is_missing,is_illegible,Purples,is_missing,is_illegible,Quinsie,is_missing,is_illegible,Rash,is_missing,is_illegible,Rheumatism,is_missing,is_illegible,Rickets,is_missing,is_illegible,"Rising of the Lights",is_missing,is_illegible,"Running of the Reins",is_missing,is_illegible,Rupture,is_missing,is_illegible,"Scald Head",is_missing,is_illegible,"Scarlet Fever",is_missing,is_illegible,Sciatica,is_missing,is_illegible,Scowring,is_missing,is_illegible,Scurvy,is_missing,is_illegible,Sores,is_missing,is_illegible,Shingles,is_missing,is_illegible,Spleen,is_missing,is_illegible,Spotted-Fever,is_missing,is_illegible,"St. Anthony's Fire",is_missing,is_illegible,Starved,is_missing,is_illegible,"Starved (Description)",is_missing,is_illegible,Still-born,is_missing,is_illegible,Stone,is_missing,is_illegible,"Stopping of the Stomach",is_missing,is_illegible,Strangury,is_missing,is_illegible,Strongullion,is_missing,is_illegible,Suddenly,is_missing,is_illegible,Surfeit,is_missing,is_illegible,"Swelling in the Throat",is_missing,is_illegible,Swine-Pox,is_missing,is_illegible,Teeth,is_missing,is_illegible,Thrush,is_missing,is_illegible,Tissick,is_missing,is_illegible,Tympany,is_missing,is_illegible,"Twisting of the Guts",is_missing,is_illegible,Ulcer,is_missing,is_illegible,Vapours,is_missing,is_illegible,Vomiting,is_missing,is_illegible,"Water in the Head",is_missing,is_illegible,Wen,is_missing,is_illegible,Wind,is_missing,is_illegible,Wolf,is_missing,is_illegible,Worms,is_missing,is_illegible,Killed,is_missing,is_illegible,"Killed (Descriptive Text)",is_missing,is_illegible,Suicide,is_missing,is_illegible,"Suicide (Descriptive Text)",is_missing,is_illegible,Other,is_missing,is_illegible,"Other (Descriptive Text)",is_missing,is_illegible,"Christened (Male)",is_missing,is_illegible,"Christened (Female)",is_missing,is_illegible,"Christened (In All)",is_missing,is_illegible,"Buried (Male)",is_missing,is_illegible,"Buried (Female)",is_missing,is_illegible,"Buried (All)",is_missing,is_illegible,"Plague Deaths",is_missing,is_illegible,"Increase/Decrease in Burials",is_missing,is_illegible,"Increase/Decrease in Plague Deaths",is_missing,is_illegible,"Parishes Clear of the Plague",is_missing,is_illegible,"Parishes Infected (with Plague)",is_missing,is_illegible
16615,35104,5191,1,1659,,,1,,,"Bodleian -1659-01-recto",,,13,,,December,,,20,,,December,,,2,,,31,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,83,,,25,,,1,,,,,,,,,25,,,1,,,"Drowned at Katherins Tower",,,,,,,,,,,,30,,,1,,,8,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,1,,,16,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,9,,,8,,,,,,1,,,,,,,,,,,,6,,,2,,,,,,,,,1,,,3,,,,,,,,,,,,6,,,,,,9,,,,,,,,,3,,,4,,,,,,,,,22,,,1,,,11,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,7,,,1,,,"Shot at Michael Cornhill",,,,,,,,,1,,,Bruised,,,66,,,60,,,126,,,179,,,167,,,346,,,1,,,74,,,,,,122,,,1,,
16936,35183,5311,1,1663,,,17,,,Bodleian-1663-17-verso,,,07,,,April,,,14,,,April,,,3,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,10,,,,,,,,,72,,,16,,,1,,,,,,,,,16,,,1,,,"Drowned in a Tub of water at St. Olaves Hartstreet",,,,,,,,,,,,40,,,1,,,7,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,8,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,1,,,9,,,,,,,,,6,,,4,,,,,,,,,8,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,"Kild by a fall from his Horse at St. Faiths",,,97,,,91,,,188,,,143,,,135,,,278,,,0,,,-44,,,,,,130,,,0,,
16937,35184,5313,1,1663,,,18,,,Bodleian-1663-18-verso,,,14,,,April,,,21,,,April,,,3,,,23,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,,14,,,,,,,,,70,,,20,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,38,,,,,,4,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,1,,,12,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,9,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,2,,,3,,,,,,,,,3,,,4,,,,,,,,,22,,,1,,,4,,,1,,,,,,2,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,1,,,Bursten,,,103,,,94,,,197,,,172,,,139,,,311,,,0,,,33,,,,,,130,,,0,,
16938,35185,5315,1,1663,,,20,,,Bodleian-1663-20-verso,,,28,,,April,,,5,,,May,,,3,,,23,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,14,,,,,,,,,72,,,27,,,,,,,,,,,,19,,,1,,,"Drowned at St. Kathar. Tower",,,,,,,,,,,,46,,,,,,4,,,,,,,,,1,,,"Found dead in the Street at St. Andrews Holborn",,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,3,,,14,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,8,,,3,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,4,,,,,,,,,1,,,3,,,,,,,,,20,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,2,,,,,,1,,,1,,,"one at St. Andrews Holborn",,,1,,,"Hanged himself at St. Giles in the Fields",,,2,,,"Sore legge; and one by a fall from Garret-window at St. Paul Coven Garden",,,97,,,83,,,180,,,167,,,152,,,319,,,0,,,3,,,,,,130,,,0,,
16939,35186,5318,1,1663,,,21,,1,Bodleian-1663-21-verso,,,05,,,May,,,12,,,May,,,5,,,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,11,,,,,,,,,72,,,20,,,,,,,,,,,,18,,,2,,,"Drowned two, one at St. Katharines Tower, and one at St. Mary Whitechappel",,,2,,,,,,,,,51,,,,,,3,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,15,,,,,,1,,,,,,,,,,,,5,,,15,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,,,6,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,7,,,2,,,1,,,,,,,,,2,,,4,,,,,,,,,19,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,3,,,,,,1,,,2,,,"Kild three, one with a Cart at St. Sepulchers, one with a Coach ",,,,,,,,,4,,,"Bruised; Cut of the Stone; and one with a fall from a house at St. Martins in the FIelds",,1,105,,,91,,,196,,,172,,,149,,,321,,,0,,,2,,,,,,130,,,0,,
16940,35187,5319,1,1663,,,22,,,Bodleian-1663-22-verso,,,12,,,May,,,19,,,May,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,6,,,,,,,,,59,,,20,,,1,,,,,,,,,15,,,,,,,,,,,,,,,,,,42,,,,,,5,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,2,,,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,6,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,,,1,,,1,,,2,,,,,,3,,,5,,,,,,,,,17,,,1,,,3,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,"Kild with a fall at St. Botolph Bishopsgate",,,101,,,90,,,191,,,141,,,123,,,264,,,0,,,-57,,,,,,130,,,0,,
16941,35188,5310,1,1663,,,23,,,Bodleian-1663-23-verso,,,19,,,May,,,26,,,May,,,2,,,20,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,6,,,,,,,,,68,,,18,,,2,,,,,,,,,18,,,1,,,"Drowned at St. Olaves South-wark",,,,,,,,,,,,40,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,3,,,12,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,1,,,"Starved at St. Martins in the Fields one fent over night out of the Gate-houfe",,,6,,,,,,4,,,,,,,,,1,,,4,,,,,,,,,16,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,103,,,97,,,200,,,149,,,124,,,273,,,0,,,9,,,,,,130,,,0,,
16942,35189,5312,1,1663,,,24,,,Bodleian-1663-24-verso,,,26,,,May,,,02,,,June,,,2,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,45,,,17,,,1,,,,,,,,,12,,,2,,,"Drowned two, one at St. Mary Summerfet, and one at St. Botolph Aldgate",,,,,,,,,,,,29,,,1,,,1,,,"flox 0; small-pox 1",,,,,,,,,,,,5,,,,,,1,,,1,,,,,,,,,12,,,,,,,,,,,,,,,,,,3,,,8,,,,,,,,,4,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,7,,,4,,,,,,1,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,,2,,,,,,,,,2,,,6,,,,,,,,,11,,,1,,,1,,,1,,,,,,2,,,,,,1,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,107,,,74,,,181,,,123,,,102,,,225,,,0,,,-48,,,,,,130,,,0,,
16943,35190,5314,1,1663,,,25,,,Bodleian-1663-25-verso,,,02,,,June,,,09,,,June,,,3,,,21,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,7,,,,,,,,,61,,,15,,,,,,,,,,,,11,,,5,,,"Drowned five, one at S. Botolph Algate, one at St. Katharines Tower, one at Lambeth Parifh one at S.Magdalen Bermond. & one at S Martins in the fields",,,,,,,,,,,,46,,,1,,,5,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,3,,,7,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,2,,,,,,,,,1,,,4,,,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,1,,,"Shot with a Piftoll at St Dun-ftans in the Weft",,,1,,,"Threw her felf from a pair of Lead at St. Bennet Fynck",,,2,,,"Kid by a fall from a Horse at St. Hellens; Mouldfallen",,,106,,,95,,,201,,,127,,,119,,,246,,,0,,,21,,,,,,130,,,0,,
16944,35191,5316,1,1663,,,26,,,Bodleian-1663-26-verso,,,09,,,June,,,16,,,June,,,4,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,7,,,,,,,,,56,,,27,,,,,,,,,,,,19,,,2,,,"Drowned two, one at St. James Dukes-place, and one at St. Mary Whitechappel",,,,,,,,,,,,40,,,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,9,,,3,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,1,,,4,,,,,,,,,,,,10,,,,,,6,,,,,,,,,3,,,5,,,,,,,,,18,,,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,2,,,1,,,"one with a Cart-wheel at St. Mary White-chappel",,,,,,,,,2,,,"one with the kick of a horfe at St. Martins in the Fields; Mouldfallen",,,97,,,90,,,187,,,148,,,135,,,283,,,0,,,37,,,,,,130,,,0,,
