"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique Identifier","Start day","Start month","End day","End month","Penny Loaf Troy Weight - White","Penny Loaf Troy Weight - Wheaten","Penny Loaf Troy Weight - Household","Penny Loaf Common Weight - White","Penny Loaf Common Weight - Wheaten","Penny Loaf Common Weight - Household","Two Penny Loaf Common Weight - White","Two Penny Loaf Common Weight - Wheaten","Two Penny Loaf Common Weight - Household","Six Penny Loaf Common Weight - Wheaten","Six Penny Loaf Common Weight - Household","Twelve Penny Loaf Common Weight - Wheaten","Twelve Penny Loaf Common Weight - Household","Eighteen Penny Loaf Common Weight - Wheaten","Eighteen Penny Loaf Common Weight - Household","Quartern Loaf Common Weight - Wheaten","Quartern Loaf Common Weight - Household","Half Peck Loaf Common Weight - Wheaten","Half Peck Loaf Common Weight - Household","Peck Loaf Common Weight - Wheaten","Peck Loaf Common Weight - Household",Salt
1314,20042,12262,1,1704,50,Laxton-1704-50-verso,21,November,28,November,08;01,12;00,16;02,08;13,13;04,17;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1315,20043,12212,1,1704,51,Laxton-1704-51-verso,28,November,5,December,08;01,12;00,16;02,08;13,13;04,17;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1316,20044,12213,1,1704,52,Laxton-1704-52-verso,5,December,12,December,08;01,12;00,16;02,08;13,13;04,17;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1355,20045,12215,1,1704,1,Laxton-1704-01-verso,19,December,26,December,08;01,12;00,16;02,08;13,13;04,17;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1356,20046,12219,1,1704,2,Laxton-1704-02-verso,26,December,2,January,08;01,12;00,16;02,08;13,13;04,17;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1357,20047,12220,1,1704,3,Laxton-1704-03-verso,2,January,9,January,08;01,12;00,16;02,08;13,13;04,17;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1358,20048,12221,1,1704,4,Laxton-1704-04-verso,9,January,16,January,08;01,12;00,16;02,08;13,13;04,17;11,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1359,20049,12214,1,1704,5,Laxton-1704-05-verso,16,January,23,January,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1360,20050,12222,1,1704,6,Laxton-1704-06-verso,23,January,30,January,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1361,20051,12223,1,1704,7,Laxton-1704-07-verso,30,January,6,February,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1362,20052,12224,1,1704,8,Laxton-1704-08-verso,6,February,13,February,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1363,20053,12225,1,1704,9,Laxton-1704-09-verso,13,February,20,February,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1364,20054,12226,1,1704,10,Laxton-1704-10-verso,20,February,27,February,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1365,20055,12216,1,1704,11,Laxton-1704-11-verso,27,February,6,March,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1366,20056,12217,1,1704,12,Laxton-1704-12-verso,6,March,13,March,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1367,20057,12218,1,1704,13,Laxton-1704-13-verso,13,March,20,March,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1368,20058,12142,1,1705,14,Laxton-1705-14-verso,20,March,27,March,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1369,20059,12287,1,1705,15,Laxton-1705-15-verso,27,March,3,April,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1370,20060,12293,1,1705,16,Laxton-1705-16-verso,3,April,10,April,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1371,20061,12294,1,1705,17,Laxton-1705-17-verso,10,April,17,April,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1372,20062,12295,1,1705,18,Laxton-1705-18-verso,17,April,24,April,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1373,20063,12296,1,1705,19,Laxton-1705-19-verso,24,April,1,May,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1374,20064,12297,1,1705,20,Laxton-1705-20-verso,1,May,8,May,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1415,20065,12298,1,1705,21,Laxton-1705-21-verso,8,May,15,May,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1416,20066,12299,1,1705,22,Laxton-1705-22-verso,15,May,22,May,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1417,20067,12300,1,1705,23,Laxton-1705-23-verso,22,May,29,May,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1418,20068,12301,1,1705,24,Laxton-1705-23-verso,29,May,5,June,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1419,20069,12302,1,1705,25,Laxton-1705-25-verso,5,June,12,June,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1420,20070,12303,1,1705,26,Laxton-1705-26-verso,12,June,19,June,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1421,20071,12304,1,1705,27,Laxton-1705-27-verso,19,June,26,June,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1422,20072,12305,1,1705,28,Laxton-1705-28-verso,26,June,3,July,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1423,20073,12306,1,1705,29,Laxton-1705-29-verso,3,July,10,July,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1424,20074,12307,1,1705,30,Laxton-1705-30-verso,10,July,17,July,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1425,20075,12309,1,1705,31,Laxton-1705-31-verso,17,July,24,July,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1426,20076,12310,1,1705,32,Laxton-1705-32-verso,24,July,31,July,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1427,20077,12308,1,1705,33,Laxton-1705-33-verso,31,July,7,August,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1428,20078,12311,1,1705,34,Laxton-1705-34-verso,7,August,14,August,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1429,20079,12312,1,1705,35,Laxton-1705-35-verso,14,August,21,August,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1430,20080,12313,1,1705,36,Laxton-1705-36-verso,21,August,28,August,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1431,20081,12314,1,1705,37,Laxton-1705-37-verso,28,August,4,September,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1432,20082,12316,1,1705,38,Laxton-1705-38-verso,4,September,11,September,08;05,12;10,16;10,09;00,13;09,18;01,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1433,20083,12317,1,1705,39,Laxton-1705-39-verso,11,September,18,September,08;18,13;10,17;16,09;12,14;10,19;08,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1434,20084,12321,1,1705,40,Laxton-1705-40-verso,18,September,25,September,08;18,13;10,17;16,09;12,14;10,19;08,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1475,20085,12322,1,1705,41,Laxton-1705-41-verso,25,September,2,October,08;18,13;10,17;16,09;12,14;10,19;08,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1476,20086,12323,1,1705,42,Laxton-1705-42-verso,2,October,9,October,08;18,13;10,17;16,09;12,14;10,19;08,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1477,20087,12324,1,1705,43,Laxton-1705-43-verso,9,October,16,October,08;18,13;10,17;16,09;12,14;10,19;08,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1478,20088,12325,1,1705,44,Laxton-1705-44-verso,16,October,23,October,08;18,13;10,17;16,09;12,14;10,19;08,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1479,20089,12326,1,1705,45,Laxton-1705-45-verso,23,October,30,October,08;18,13;10,17;16,09;12,14;10,19;08,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1480,20090,12328,1,1705,46,Laxton-1705-46-verso,30,October,6,November,08;18,13;10,17;16,09;12,14;10,19;08,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1481,20091,12329,1,1705,47,Laxton-1705-47-verso,6,November,13,November,08;18,13;10,17;16,09;12,14;10,19;08,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1482,20092,12330,1,1705,48,Laxton-1705-48-verso,13,November,20,November,08;18,13;10,17;16,09;12,14;10,19;08,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1483,20093,12331,1,1705,49,Laxton-1705-49-verso,20,November,27,November,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1484,20094,12332,1,1705,50,Laxton-1705-50-verso,27,November,4,December,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1485,20095,12288,1,1705,51,Laxton-1705-51-verso,4,December,11,December,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1486,20096,12289,1,1705,52,Laxton-1705-52-verso,11,December,18,December,09;07,14;00,18;15,10;05,15;07,10;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1487,20097,12264,1,1705,1,Laxton-1705-01-verso,,,25,December,08;18,13;10,17;16,09;12,14;10,19;18,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1488,20098,12273,1,1705,2,Laxton-1705-02-verso,,,1,January,08;18,13;10,17;16,09;12,14;10,19;18,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1489,20099,12275,1,1705,3,Laxton-1705-03-verso,,,8,January,08;18,13;10,17;16,09;12,14;10,16;18,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1490,20100,12274,1,1705,4,Laxton-1705-04-verso,,,15,January,08;18,13;10,17;16,09;12,14;10,16;18,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1491,20101,12276,1,1705,5,Laxton-1705-05-verso,,,22,January,08;18,13;10,17;16,09;12,14;10,16;18,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1492,20102,12278,1,1705,6,Laxton-1705-06-verso,,,29,January,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1493,20103,12279,1,1705,7,Laxton-1705-07-verso,,,5,February,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1494,20104,12280,1,1705,8,Laxton-1705-08-verso,,,12,February,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1535,20105,12281,1,1705,9,Laxton-1705-09-verso,,,19,February,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1536,20106,12282,1,1705,10,Laxton-1705-10-verso,,,26,February,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1537,20107,12283,1,1705,11,Laxton-1705-11-verso,,,5,March,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1538,20108,12284,1,1705,12,Laxton-1705-12-verso,,,12,March,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1539,20109,12285,1,1705,13,Laxton-1705-13-verso,,,19,March,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1540,20110,12286,1,1706,14,Laxton-1705-14-verso,,,26,March,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1541,20111,12354,1,1706,15,Laxton-1706-15-verso,,,2,April,10;05,15;10,20;09,11;04,16;14,22;18,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1542,20112,12355,1,1706,16,Laxton-1706-16-verso,,,9,April,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1543,20113,12356,1,1706,17,Laxton-1706-17-verso,,,16,April,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1544,20114,12357,1,1706,18,Laxton-1706-18-verso,,,23,April,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1545,20115,12358,1,1706,19,Laxton-1706-19-verso,,,30,April,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1546,20116,12359,1,1706,20,Laxton-1706-20-verso,,,7,May,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1547,20117,12360,1,1706,21,Laxton-1706-21-verso,,,14,May,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1548,20118,12361,1,1706,22,Laxton-1706-22-verso,,,21,May,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1549,20119,12362,1,1706,23,Laxton-1706-23-verso,,,28,May,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1550,20120,12363,1,1706,24,Laxton-1706-24-verso,,,4,June,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1551,20121,12364,1,1706,25,Laxton-1706-25-verso,,,11,June,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1552,20122,12365,1,1706,26,Laxton-1706-26-verso,,,18,June,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1553,20123,12366,1,1706,27,Laxton-1706-27-verso,,,25,June,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1554,20124,12367,1,1706,28,Laxton-1706-28-verso,,,2,July,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1595,20125,12368,1,1706,29,Laxton-1706-29-verso,,,9,July,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1596,20126,12369,1,1706,30,Laxton-1706-30-verso,,,16,July,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1597,20127,12370,1,1706,31,Laxton-1706-31-verso,,,23,July,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1598,20128,12371,1,1706,32,Laxton-1706-32-verso,,,30,July,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1599,20129,12372,1,1706,33,Laxton-1706-33-verso,,,6,August,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1600,20130,12373,1,1706,34,Laxton-1706-34-verso,,,13,August,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1601,20131,12374,1,1706,35,Laxton-1706-35-verso,,,20,August,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1602,20132,12375,1,1706,36,Laxton-1706-36-verso,,,27,August,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1603,20133,12376,1,1706,37,Laxton-1706-37-verso,,,3,September,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1604,20134,12377,1,1706,38,Laxton-1706-38-verso,,,10,September,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1605,20135,12378,1,1706,39,Laxton-1706-39-verso,,,17,September,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1606,20136,12379,1,1706,40,Laxton-1706-40-verso,,,24,September,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1607,20137,12381,1,1706,41,Laxton-1706-41-verso,,,1,October,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1608,20138,12382,1,1706,42,Laxton-1706-42-verso,,,8,October,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1609,20139,12384,1,1706,43,Laxton-1706-43-verso,,,15,October,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1610,20140,12385,1,1706,44,Laxton-1706-44-verso,,,22,October,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1611,20141,12386,1,1706,45,Laxton-1706-45-verso,,,29,October,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1612,20142,12387,1,1706,46,Laxton-1706-46-verso,,,5,November,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1613,20143,12388,1,1706,47,Laxton-1706-47-verso,,,12,November,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1614,20144,12389,1,1706,48,Laxton-1706-48-verso,,,9,November,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1655,20145,12383,1,1706,49,Laxton-1706-49-verso,,,26,November,09;19,15;00,19;18,10;15,16;06,21;13,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1656,20146,12380,1,1706,50,Laxton-1706-50-verso,,,3,December,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1657,20147,12315,1,1706,51,Laxton-1706-51-verso,,,10,December,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1664,20148,12333,1,1706,1,Laxton-1706-01-verso,,,17,December,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1665,20149,12334,1,1706,2,Laxton-1706-02-verso,,,24,December,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1666,20150,12335,1,1706,3,Laxton-1706-03-verso,,,31,December,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1667,20151,12336,1,1706,4,Laxton-1706-04-verso,,,7,January,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1668,20152,12337,1,1706,5,Laxton-1706-05-verso,,,14,January,09;07,14;00,18;15,10;05,15;07,20;10,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1669,20153,12338,1,1706,6,Laxton-1706-06-verso,,,21,January,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1670,20154,12339,1,1706,7,Laxton-1706-07-verso,,,28,January,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1671,20155,12340,1,1706,8,Laxton-1706-08-verso,,,4,February,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1672,20156,12341,1,1706,9,Laxton-1706-09-verso,,,11,February,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1673,20157,12342,1,1706,10,Laxton-1706-10-verso,,,18,February,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1674,20158,12343,1,1706,11,Laxton-1706-11-verso,,,25,February,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1675,20159,12344,1,1706,12,Laxton-1706-12-verso,,,4,March,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1676,20160,12345,1,1706,13,Laxton-1706-13-verso,,,11,March,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1677,20161,12346,1,1706,14,Laxton-1706-14-verso,,,18,March,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1678,20162,12406,1,1707,15,Laxton-1707-15-verso,,,25,March,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1679,20163,12407,1,1707,16,Laxton-1707-16-verso,,,1,April,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1680,20164,12408,1,1707,17,Laxton-1707-17-verso,,,8,April,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1681,20165,12409,1,1707,18,Laxton-1707-18-verso,,,15,April,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1682,20166,12410,1,1707,19,Laxton-1707-19-verso,,,22,April,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1683,20167,12411,1,1707,20,Laxton-1707-20-verso,,,29,April,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1724,20168,12412,1,1707,21,Laxton-1707-21-verso,,,6,May,09;13,14;10,19;06,10;09,15;14,21;03,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1794,20198,12318,1,1707,51,Laxton-1707-51-verso,,,2,December,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1795,20199,12319,1,1707,52,Laxton-1707-52-verso,,,9,December,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1796,20200,12390,1,1707,53,Laxton-1707-53-verso,,,16,December,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1797,20201,12391,1,1707,1,Laxton-1707-01-verso,,,23,December,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1798,20202,12392,1,1707,2,Laxton-1707-02-verso,,,30,December,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1799,20203,12393,1,1707,3,Laxton-1707-03-verso,,,6,January,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1800,20204,12394,1,1707,4,Laxton-1707-04-verso,,,13,January,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1801,20205,12395,1,1707,5,Laxton-1707-05-verso,,,20,January,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1802,20206,12396,1,1707,6,Lacton-1707-06-verso,,,27,January,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1803,20207,12397,1,1707,7,Laxton-1707-07-verso,,,3,February,08;07,12;10,16;14,09;02,13;12,18;04,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1844,20208,12398,1,1707,8,Laxton-1707-08-verso,,,10,February,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
1845,20209,12399,1,1707,9,Laxton-1707-09-verso,,,17,February,08;13,13;00,17;06,09;08,14;04,19;00,,,,,,,,,,,,,,,,"56 l. to the Bushel 5 s. 6 d."
