"Omeka Item #","DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique ID","Start Day","Start Month","End Day","End month","St Alban Woodstreet - Buried","St Alban Woodstreet - Plague","Alhallows Barking - Buried","Alhallows Barking - Plague","Alhallows Breadstreet - Buried","Alhallows Breadstreet - Plague","Alhallows Great - Buried","Alhallows Great - Plague","Alhallows Honylane - Buried","Alhallows Honylane - Plague","Alhallows Lesse - Buried","Alhallows Lesse - Plague","Alhallows Lumbardstreet - Buried","Alhallows Lumbardstreet - Plague","Alhallows Stayning - Buried","Alhallows Stayning - Plague","Alhallows the Wall - Buried","Alhallows the Wall - Plague","St Alphage - Buried","St Alphage - Plague","St Andrew Hubbard - Buried","St Andrew Hubbard - Plague","St Andrew Undershaft - Buried","St Andrew Undershaft - Plague","St Andrew Wardrobe - Buried","St Andrew Wardrobe - Plague","St Ann Aldersgate - Buried","St Ann Aldersgate - Plague","St Ann Blackfryers - Buried","St Ann Blackfryers - Plague","St Antholins Parish - Buried","St Antholins Parish - Plague","St Austins Parish - Buried","St Austins Parish - Plague","St Bartholomew Exchange - Buried","St Bartholomew Exchange - Plague","St Bennet Fynck - Buried","St Bennet Fynck - Plague","St Bennet Gracechurch - Buried","St Bennet Gracechurch - Plague","St Bennet Paulswharf - Buried","St Bennet Paulswharf - Plague","St Bennet Sherehog - Buried","St Bennet Sherehog - Plague","St Botolph Billingsgate - Buried","St Botolph Billingsgate - Plague","Christ Church - Buried","Christ Church - Plague","St Christophers - Buried","St Christophers - Plague","St Clement Eastcheap - Buried","St Clement Eastcheap - Plague","St Dionis Backchurch - Buried","St Dionis Backchurch - Plague","St Dunstan East - Buried","St Dunstan East - Plague","St Edmund Lumbardstr. - Buried","St Edmund Lumbardstr. - Plague","St Ethelborough - Buried","St Ethelborough - Plague","St Faith - Buried","St Faith - Plague","St Foster - Buried","St Foster - Plague","St Gabriel Fenchurch - Buried","St Gabriel Fenchurch - Plague","St George Botolphlane - Buried","St George Botolphlane - Plague","St Gregory by St Pauls - Buried","St Gregory by St Pauls - Plague","St Hellen - Buried","St Hellen - Plague","St James Dukes place - Buried","St James Dukes place - Plague","St James Garlickhithe - Buried","St James Garlickhithe - Plague","St John Baptist - Buried","St John Baptist - Plague","St John Evangelist - Buried","St John Evangelist - Plague","St John Zachary - Buried","St John Zachary - Plague","St Katharine Coleman - Buried","St Katharine Coleman - Plague","St Katharine Creechurch - Buried","St Katharine Creechurch - Plague","St Lawrence Jewry - Buried","St Lawrence Jewry - Plague","St Lawrence Pountney - Buried","St Lawrence Pountney - Plague","St Leonard Eastcheap - Buried","St Leonard Eastcheap - Plague","St Leonard Fosterlane - Buried","St Leonard Fosterlane - Plague","St Magnus Parish - Buried","St Magnus Parish - Plague","St Margaret Lothbury - Buried","St Margaret Lothbury - Plague","St Margaret Moses - Buried","St Margaret Moses - Plague","St Margaret Newfishstreet - Buried","St Margaret Newfishstreet - Plague","St Margaret Pattons - Buried","St Margaret Pattons - Plague","St Mary Abchurch - Buried","St Mary Abchurch - Plague","St Mary Aldermanbury - Buried","St Mary Aldermanbury - Plague","St Mary Aldermary - Buried","St Mary Aldermary - Plague","St Mary le Bow - Buried","St Mary le Bow - Plague","St Mary Bothaw - Buried","St Mary Bothaw - Plague","St Mary Colechurch - Buried","St Mary Colechurch - Plague","St Mary Hill - Buried","St Mary Hill - Plague","St Mary Mounthaw - Buried","St Mary Mounthaw - Plague","St Mary Sommerset - Buried","St Mary Sommerset - Plague","St Mary Stayning - Buried","St Mary Stayning - Plague","St Mary Woolchurch - Buried","St Mary Woolchurch - Plague","St Mary Woolnoth - Buried","St Mary Woolnoth - Plague","St Martin Iremongerlane - Buried","St Martin Iremongerlane - Plague","St Martin Ludgate - Buried","St Martin Ludgate - Plague","St Martin Orgars - Buried","St Martin Orgars - Plague","St Martin Outwich - Buried","St Martin Outwich - Plague","St Martin Vintrey - Buried","St Martin Vintrey - Plague","St Matthew Fridaystreet - Buried","St Matthew Fridaystreet - Plague","St Maudlin Milkstreet - Buried","St Maudlin Milkstreet - Plague","St Maudlin Oldfishstreet - Buried","St Maudlin Oldfishstreet - Plague","St Michael Bassishaw - Buried","St Michael Bassishaw - Plague","St Michael Cornhil - Buried","St Michael Cornhil - Plague","St Michael Crookedlane - Buried","St Michael Crookedlane - Plague","St Michael Queenhithe - Buried","St Michael Queenhithe - Plague","St Michael Quern - Buried","St Michael Quern - Plague","St Michael Royal - Buried","St Michael Royal - Plague","St Michael Woodstreet - Buried","St Michael Woodstreet - Plague","St Mildred Breadstreet - Buried","St Mildred Breadstreet - Plague","St Mildred Poultrey - Buried","St Mildred Poultrey - Plague","St Nicholas Acons - Buried","St Nicholas Acons - Plague","St Nicholas Coleabby - Buried","St Nicholas Coleabby - Plague","St Nicholas Olaves - Buried","St Nicholas Olaves - Plague","St Olave Hartstreet - Buried","St Olave Hartstreet - Plague","St Olave Jewry - Buried","St Olave Jewry - Plague","St Olave Silverstreet - Buried","St Olave Silverstreet - Plague","St Pancras Soperlane - Buried","St Pancras Soperlane - Plague","St Peter Cheap - Buried","St Peter Cheap - Plague","St Peter Cornhil - Buried","St Peter Cornhil - Plague","St Peter Paulswharf - Buried","St Peter Paulswharf - Plague","St Peter Poor - Buried","St Peter Poor - Plague","St Steven Colemanstreet - Buried","St Steven Colemanstreet - Plague","St Steven Walbrook - Buried","St Steven Walbrook - Plague","St Swithin - Buried","St Swithin - Plague","St Thomas Apostles - Buried","St Thomas Apostles - Plague","Trinity Parish - Buried","Trinity Parish - Plague","Buried in the 97 Parishes within the Walls","Plague in the 97 Parishes within the Walls","St Andrew Holborn - Buried","St Andrew Holborn - Plague","St Bartholomew Great - Buried","St Bartholomew Great - Plague","St Bartholomew Less - Buried","St Bartholomew Less - Plague","St Bridget - Buried","St Bridget - Plague","Bridewel Precinct - Buried","Bridewel Precinct - Plague","St Botolph Aldersgate - Buried","St Botolph Aldersgate - Plague","St Botolph Aldgate - Buried","St Botolph Aldgate - Plague","St Botolph Bishopsgate - Buried","St Botolph Bishopsgate - Plague","St Dunstan West - Buried","St Dunstan West - Plague","St George Southwark - Buried","St George Southwark - Plague","St Giles Cripplegate - Buried","St Giles Cripplegate - Plague","St Olave Southwark - Buried","St Olave Southwark - Plague","Saviours Southwark - Buried","Saviours Southwark - Plague","S Sepulchres Parish - Buried","S Sepulchres Parish - Plague","St Thomas Southwark - Buried","St Thomas Southwark - Plague","Trinity Minories - Buried","Trinity Minories - Plague","Pesthouse Without the Walls - Buried","Pesthouse Without the Walls - Plague","Buried in the parishes without the Walls","Plague in the parishes without the Walls","St Clement Danes - Buried","St Clement Danes - Plague","St Paul Covent Garden - Buried","St Paul Covent Garden - Plague","St Giles in the Field - Buried","St Giles in the Field - Plague","St James Clerkenwel - Buried","St James Clerkenwel - Plague","St Katharine Tower - Buried","St Katharine Tower - Plague","St Leonard Shoreditch - Buried","St Leonard Shoreditch - Plague","St Martin in the fields - Buried","St Martin in the fields - Plague","St Mary Whitechappel - Buried","St Mary Whitechappel - Plague","St Magdalen Bermondsey - Buried","St Magdalen Bermondsey - Plague","St Mary Savoy - Buried","St Mary Savoy - Plague","Buried in the out-Parishes in Middlesex and Surrey","Plague in the out-Parishes in Middlesex and Surrey","Total of all Burials","Total of all Plague","Total Christenings","Parishes Clear of the Plague","Parishes Infected"
24409,23234,2212,1,1636,35,Bodleian-1636-35-recto,11,August,18,August,2,1,,,,,2,1,,,1,,2,,,,2,1,1,,,,,,5,2,1,1,8,5,,,1,1,,,,,,,1,,,,,,5,2,1,,,,1,,2,,,,3,2,,,,,2,1,1,1,5,2,,,2,,,,,,,,2,2,12,8,,,,,,,1,1,5,5,1,,2,,2,2,,,1,,,,,,,,,,1,1,1,,,,1,,1,,2,,,,,,,,1,,,,,,2,,,,,,,,1,,,,,,1,1,,,1,,1,1,1,,,,,,1,1,,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,92,43,13,6,16,12,,,9,3,4,2,4,4,37,21,23,9,4,,37,10,39,11,32,18,26,18,33,18,1,,,,6,6,284,138,13,6,,,21,12,19,10,18,13,33,26,14,3,44,29,6,3,2,1,170,103,546,284,167,79,43
24410,23235,2213,1,1636,37,Bodleian-1636-37-recto,25,August,1,September,3,1,2,1,,,2,1,,,,,1,,,,7,6,,,,,2,,9,8,4,1,8,4,,,,,,,,,1,,3,1,1,,,,12,9,,,,,2,,1,,,,4,2,,,,,,,,,5,4,,,,,1,1,,,,,1,,15,7,3,1,,,3,1,,,4,2,,,1,,1,1,,,,,,,,,1,1,1,1,1,,,,,,1,,2,1,,,,,,,,,2,1,,,,,1,,,,,,,,3,3,1,1,,,1,1,,,,,1,,1,,2,1,,,2,2,,,3,,,,,,,,,,1,,,,,,1,1,,,,,,,,,121,64,19,12,21,19,,,10,5,1,1,11,10,52,31,29,18,3,1,77,57,85,34,39,24,26,19,46,26,5,4,2,2,2,2,428,265,25,15,,,46,32,33,25,29,25,40,23,21,15,74,58,11,8,7,6,286,207,835,536,163,72,50
24411,23236,2214,1,1636,38,Bodleian-1636-38-recto,1,September,8,September,1,,5,1,,,1,,,,,,1,,,,7,5,3,2,,,2,,4,3,3,2,10,9,,,,,2,,1,1,,,5,4,,,3,1,8,5,,,,,,,,,,,3,1,1,,,,,,,,3,1,1,1,2,,,,,,,,1,,5,4,1,,,,2,2,1,,3,2,,,,,2,,1,,3,1,1,,3,2,2,1,,,,,1,,4,1,,,3,2,,,,,1,1,,,2,2,1,,,,4,2,2,,,,1,1,3,3,3,3,1,,1,,1,,,,2,2,1,1,,,,,2,1,,,,,,,,,,,,,,,1,1,,,2,,,,1,,1,1,1,,130,69,18,12,9,4,1,,16,6,1,,6,4,57,37,54,34,12,7,70,51,118,51,46,32,48,41,55,30,10,8,2,1,3,3,526,321,16,5,,,35,30,25,19,18,9,42,27,18,10,92,67,17,9,2,1,265,177,921,567,153,67,55
24412,23237,2215,1,1636,39,Bodleian-1636-39-recto,8,September,15,September,7,4,2,1,,,11,7,,,2,,,,1,,6,3,1,1,,,,,3,1,9,7,6,4,1,,1,,,,1,1,,,9,9,,,,,8,6,2,1,1,,,,1,,1,1,,,1,,3,,,,1,,4,4,1,,,,1,,,,,,,,11,9,6,3,1,,2,1,,,2,,,,,,3,3,2,2,1,1,,,,,2,2,,,,,,,1,,,,5,1,1,1,,,1,,,,2,,1,,1,1,4,2,,,,,4,3,,,2,1,2,1,5,3,,,,,6,5,,,,,,,1,1,,,2,2,,,,,,,,,1,1,2,1,,,2,1,,,1,,1,,,,159,95,33,24,18,16,1,1,21,10,1,1,6,5,70,54,69,38,6,4,73,52,106,35,49,31,64,56,62,42,12,11,3,2,10,10,604,392,19,5,,,44,30,43,33,31,25,34,19,25,17,112,88,25,18,10,6,343,241,1106,728,166,62,60
24413,23238,2226,1,1636,40,Bodleian-1636-40-recto,15,September,22,September,,,8,1,2,1,3,2,,,,,,,,,3,3,3,2,,,4,1,4,1,9,9,7,4,,,,,,,1,,,,8,7,,,,,9,4,,,,,1,,2,,,,,,2,2,3,1,,,1,,1,1,,,,,,,,,,,1,1,7,7,3,,,,1,1,,,3,1,4,2,,,1,,1,1,,,,,2,1,1,,1,,,,,,1,,1,1,1,1,,,2,2,1,,,,1,,,,,,3,2,1,1,,,5,4,2,1,1,1,1,,4,1,,,,,2,1,1,1,1,1,,,2,1,1,1,4,2,,,4,3,,,,,2,1,2,1,,,6,4,,,,,,,4,3,149,86,31,21,15,10,1,1,21,9,,,12,9,50,28,83,46,10,6,68,55,150,66,44,33,46,37,47,32,13,8,,,8,8,599,369,20,9,,,44,29,31,27,21,14,16,11,27,17,75,58,26,16,10,9,270,190,1018,645,172,58,64
24414,23239,2227,1,1636,41,Bodleian-1636-41-recto,22,September,29,September,1,1,5,2,1,,8,7,,,1,,,,1,,7,6,5,2,,,2,1,6,6,8,6,2,1,1,,1,,,,1,1,1,,10,6,,,2,2,9,6,,,,,,,,,,,2,1,3,3,2,1,2,,,,,,1,,1,,,,,,,,,,10,6,8,6,,,3,,1,1,3,1,4,3,1,,,,3,3,,,,,2,1,2,1,,,,,,,,,,,2,,,,1,,,,,,,,1,,2,1,2,,1,,,,4,4,1,,1,,2,,2,,,,3,,3,1,2,1,1,,,,2,,,,2,1,,,1,1,,,,,1,1,2,2,1,,4,1,,,,,,,,,161,87,44,27,8,5,2,1,18,13,1,,9,6,80,59,77,30,6,5,74,52,173,101,84,66,69,58,55,30,16,13,4,3,8,8,728,477,20,12,,,36,29,35,27,29,21,31,19,29,20,113,85,25,15,4,4,322,232,1211,796,168,65,57
24415,23240,2228,1,1636,42,Bodleian-1636-42-recto,29,September,6,October,,,7,4,,,5,4,1,,1,1,,,,,5,1,,,1,1,3,2,6,2,4,3,4,2,,,,,,,,,1,1,8,7,,,1,,8,6,,,1,,,,3,1,,,4,1,3,3,1,1,,,1,,1,,,,1,1,2,,,,,,,,3,1,4,,1,,1,,,,5,5,2,2,,,2,,,,1,1,,,,,2,,,,,,,,1,1,,,3,1,1,1,,,,,,,1,,,,,,2,1,,,,,6,6,1,,1,,1,1,3,3,,,,,4,1,2,,1,1,1,1,1,1,2,1,6,3,,,2,1,2,,,,1,1,2,1,,,6,3,,,,,,,,,143,78,45,36,16,9,2,2,24,15,1,,21,17,69,50,108,54,6,5,79,59,176,98,68,55,76,58,55,36,10,8,1,1,5,5,762,508,17,8,,,31,22,35,29,27,18,36,21,25,19,92,67,21,15,5,5,289,204,1194,790,170,60,62
24416,23241,2229,1,1636,43,Bodleian-1636-43-recto,6,October,13,October,2,1,5,1,1,1,6,5,,,3,,1,,,,8,2,4,1,,,2,1,4,1,8,8,1,,,,,,1,,1,1,,,3,1,,,,,5,5,1,1,,,2,1,1,,,,3,1,2,2,1,,2,2,,,3,2,2,,1,,,,,,,,2,2,8,7,5,3,,,4,1,,,5,4,2,2,,,,,3,3,,,1,,2,1,2,,,,1,,1,1,2,1,2,,4,,,,1,1,1,,,,,,2,,,,3,3,,,,,7,3,,,,,1,1,2,2,,,1,,2,,3,3,1,1,,,1,,2,1,1,,1,,1,,,,,,2,,,,,,2,2,,,1,,1,1,1,1,154,81,33,25,13,5,2,1,20,10,2,1,12,9,71,41,91,50,4,1,45,23,142,58,101,86,68,50,55,34,13,11,3,2,3,3,678,410,14,8,,,35,20,27,16,32,20,37,26,26,18,88,62,20,16,6,5,285,191,1117,682,164,59,63
24417,23242,2230,1,1636,44,Bodleian-1636-44-recto,13,October,20,October,1,,5,3,,,4,4,,,3,2,,,,,7,1,1,,2,1,3,3,4,3,3,2,1,,2,1,,,,,,,,,4,2,,,,,4,3,,,1,,,,1,1,1,,1,1,1,,1,,,,,,2,,1,1,5,3,,,1,1,,,1,,4,4,3,1,,,,,,,,,,,,,2,1,,,,,,,5,4,2,1,,,,,,,1,,,,5,3,,,1,1,1,,,,3,1,,,,,2,,,,1,,2,2,,,1,,,,2,2,,,1,,1,,,,,,2,1,,,3,1,5,1,,,,,,,,,,,,,,,5,1,2,,,,1,,,,115,56,37,25,5,1,3,3,18,15,1,,8,4,64,39,48,14,8,4,30,9,112,37,62,44,68,56,41,19,9,8,,,2,2,516,280,16,7,,,20,11,23,11,12,8,29,22,24,19,76,48,22,14,2,,224,140,855,476,174,70,52
24418,23243,2231,1,1636,45,Bodleian-1636-45-recto,20,October,27,October,,,3,2,,,6,2,,,,,,,1,,3,1,4,1,2,2,2,1,3,2,5,3,,,2,2,,,,,,,1,,1,,,,2,1,4,2,2,2,2,1,,,2,,,,1,,,,1,,,,1,1,2,,1,,2,2,1,,1,1,,,2,1,3,2,9,1,,,,,1,,1,1,1,,1,,,,,,,,2,,1,,,,,,1,,,,,,1,,1,,,,1,,1,,,,,,1,,,,,,,,,,2,2,,,2,1,1,1,,,1,1,3,,4,1,,,2,1,1,1,,,1,1,3,3,,,,,,,,,1,1,2,2,,,3,2,,,,,2,2,,,110,50,26,19,11,4,2,1,16,9,1,1,6,5,53,18,48,22,5,3,30,14,105,36,76,52,54,32,39,21,9,7,3,2,1,1,485,247,7,3,,,20,13,20,10,16,8,36,17,25,16,48,36,10,2,2,2,184,107,779,404,133,64,58
24443,23244,2232,1,1638,25,Bodleian-1638-25-recto,31,May,7,June,1,,3,,,,4,,,,1,,1,,,,3,,,,1,,,,,,2,,4,,2,,,,,,,,1,,1,,,,2,,3,,2,,1,,,,1,1,1,,,,,,2,,,,,,2,,1,,1,,,,,,,,1,,,,2,,1,,1,,,,1,,,,1,,,,,,,,,,,,,,1,,2,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,3,,2,,1,,2,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,1,,67,1,10,,3,,2,,10,,,,4,,11,,5,,9,,8,,19,,9,,4,,14,,,,2,,1,1,111,1,6,,,,7,,,,8,,5,,21,,8,,3,,3,,61,0,239,2,171,121,1
24444,23245,2238,1,1638,27,Bodleian-1638-27-recto,14,June,21,June,2,,4,,1,,3,,,,3,,,,,,1,,,,1,,2,,1,,1,,6,,,,,,,,1,,1,,2,,,,,,5,,,,,,,,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,1,,,,,,,,,,2,,,,,,3,,1,,1,,1,,,,2,,,,1,,1,,,,,,,,1,,2,,,,,,2,,1,,3,,,,,,2,,,,1,,4,,,,,,1,,1,,76,0,10,,1,,1,,9,,,,4,,14,,7,,8,,8,,13,,9,,8,,13,,2,,1,,,,108,0,8,,,,6,,5,,3,,5,,14,,8,,4,,2,,56,0,240,0,153,122,0
24445,23246,2240,1,1638,28,Bodleian-1638-28-recto,21,June,28,June,,,6,,,,3,,,,,,1,,1,,1,,1,,,,,,2,,,,1,,1,,,,1,,,,,,,,,,,,2,,,,,,2,,2,,,,1,,2,,1,,,,,,,,,,,,1,,,,,,,,3,,,,1,,1,,,,2,,,,1,,,,,,,,,,1,,,,,,1,,1,,,,,,3,,,,,,1,,1,,2,,1,,,,1,1,,,1,,2,,2,,1,,,,2,,,,,,1,,1,,,,,,1,,,,1,,,,,,,,,,2,,,,,,2,,,,,,,,,,65,1,17,1,4,,,,9,,,,3,,10,,11,,5,,6,,14,,12,,10,,15,,,,,,,,116,1,13,,,,9,,4,,5,,5,,17,1,22,,1,,1,,77,1,258,3,181,119,3
24446,23247,2241,1,1638,29,Bodleian-1638-29-recto,28,June,5,July,2,,3,,,,1,,,,,,2,,,,1,,,,1,,1,,3,,1,,4,,1,,,,,,1,,,,2,,1,,1,,6,,1,,,,,,1,,,,,,1,,1,,,,2,,1,,,,2,,2,,,,,,2,,,,3,,1,,,,,,1,,1,,,,1,,,,1,,,,,,,,,,,,1,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,1,,,,64,0,14,1,2,,,,6,,,,4,,9,,8,,6,,8,,16,,15,,5,,19,,1,,,,,,113,1,9,,,,15,1,4,,4,,3,,20,1,18,,7,,1,,81,2,258,3,181,119,3
24447,23248,2242,1,1638,30,Bodleian-1638-30-recto,5,July,12,July,1,,4,,,,5,,,,1,,2,,,,,,,,,,2,,2,,1,,3,,,,2,,,,,,,,1,,,,1,,,,,,2,,1,,4,,,,,,2,,1,,,,,,2,,,,2,,2,,,,,,1,,,,1,,3,,1,,1,,1,,,,,,1,,,,1,,,,1,,1,,1,,1,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,4,,1,,1,,3,,1,,2,,,,,,2,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,79,0,19,3,2,,,,9,,2,,3,,7,,11,,7,,3,,16,,15,,8,,15,1,2,,,,,,119,4,12,,,,9,,7,,10,,7,,10,,20,1,5,,2,,82,1,280,5,194,119,3
24448,23249,2181,1,1638,31,Bodleian-1638-31-recto,12,July,19,July,1,,3,,2,,5,,,,,,2,,,,1,,2,,,,2,,,,,,3,,1,,,,,,,,1,,2,,,,2,1,4,,,,1,,,,6,,1,,,,2,,1,,,,1,,,,,,,,,,,,,,,,1,,2,,2,,1,,,,2,,1,,,,,,,,,,,,2,,1,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,1,,,,,,2,,3,,,,,,1,,1,,,,3,,,,1,,,,,,3,,2,,,,,,,,,,1,,1,,,,1,,1,,1,,,,2,,82,1,17,1,,,,,13,,1,,3,,16,,12,,5,,6,,32,,20,,21,,18,,1,,,,,,165,1,14,,,,19,2,6,1,5,,5,,25,1,17,,7,,2,,100,4,347,6,177,117,5
24449,23250,2184,1,1638,32,Bodleian-1638-32-recto,19,July,26,July,1,,3,,1,,,,,,3,,1,,1,,1,,,,,,1,,8,,3,,7,,1,,,,1,,,,,,2,,1,,2,,6,,1,,1,,1,,4,1,1,,,,,,,,1,,1,,1,,1,,3,,2,,,,,,,,1,,1,,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,1,,,,,,,,,,1,,1,,,,,,1,,3,,1,,3,,1,,1,,3,,1,,1,,,,1,,2,,1,,1,,1,,2,,,,,,,,,,1,,,,,,1,,1,,2,,100,1,11,,3,,,,12,,2,,4,,20,,12,,8,,11,2,21,,28,,28,,16,,,,,,,,176,2,14,,,,16,,5,2,6,,10,,26,,21,,7,,3,,108,2,384,5,174,119,3
24450,23251,2188,1,1638,33,Bodleian-1638-33-recto,26,July,2,August,1,,2,,,,5,1,,,,,,,,,2,,1,,,,2,,3,,1,,6,,,,,,,,1,,,,1,,,,1,,5,,,,,,1,,3,,,,1,,,,2,,,,,,3,,1,,2,,2,,,,,,,,1,,1,,,,1,,,,3,,1,,,,,,,,,,,,2,,1,,1,,,,,,2,,,,1,,,,,,,,,,1,,1,,3,,1,,,,,,5,,2,,,,4,,2,,,,,,1,,,,,,,,2,,1,,2,,1,,,,,,,,2,,,,1,,,,,,1,,1,,1,,92,1,13,,1,,1,,7,,,,8,,18,,13,,9,,12,,24,,28,,30,,10,,,,1,,,,175,0,16,1,,,19,2,4,,3,,10,,19,,30,,6,,,,107,3,374,4,200,119,3
24451,23252,2191,1,1638,34,Bodleian-1638-34-recto,2,August,9,August,,,8,,,,1,,,,4,,3,,1,,2,,,,2,,,,3,,,,2,,,,1,,,,1,,,,2,,,,,,3,,,,,,,,4,,1,,2,,,,,,1,,,,,,,,1,,,,3,,,,1,,4,,3,,,,1,1,,,4,,,,,,,,3,,,,,,,,1,,,,,,,,1,,1,,5,1,1,,1,,,,,,1,,,,,,,,1,,,,2,,4,,,,5,,2,,,,,,2,,,,1,,,,,,1,,2,,,,1,,2,,,,,,2,,,,2,,,,1,,,,1,,101,2,17,1,3,,2,,9,,,,1,,13,,7,,8,,11,1,33,1,14,,17,,20,1,2,,,,,,157,4,16,,,,15,,6,,5,,3,,18,,16,,7,,2,,88,0,346,6,179,116,6
24452,23253,2201,1,1638,36,Bodleian-1638-36-recto,16,August,23,August,1,,6,,,,2,,,,2,,,,1,,1,,2,,,,1,,2,,3,,2,,,,,,,,,,1,,3,,,,1,,,,1,,,,1,,6,,1,,3,,1,,,,1,,,,1,,1,,1,,1,,1,,,,,,1,,1,,,,5,2,,,,,1,,1,,,,2,,,,2,,3,1,3,,3,,,,2,,,,1,,1,,1,,,,,,1,,1,,1,,,,,,,,,,1,,1,,1,,3,,,,,,1,,4,,,,,,,,2,,,,3,,,,1,,,,,,,,1,,,,1,,,,,,,,,,96,3,18,2,3,,,,15,,1,,3,,23,2,8,,8,1,3,1,22,,21,,18,1,27,2,2,,1,,1,1,174,10,10,1,,,16,1,4,,7,,9,,21,,17,,13,,4,1,101,3,371,16,199,111,11
24478,23254,2202,1,1638,37,Bodleian-1638-37-recto,23,August,30,August,1,,3,,,,4,,2,,4,,1,,1,,1,,,,,,3,,1,,,,1,,1,1,1,,1,,,,2,,1,,1,,1,,8,,,,4,,2,,4,,,,,,2,,,,,,,,2,,2,,,,1,,1,,,,,,4,,3,,,,1,,,,2,1,4,1,2,,,,2,,,,,,2,1,2,,1,,,,,,,,,,1,,,,,,,,,,3,,2,,,,2,,,,,,3,,8,3,,,5,,2,,1,,1,,1,,1,,,,,,1,,,,3,,,,,,,,,,,,1,,,,4,1,,,,,2,,,,120,8,14,3,3,,,,8,,1,,2,,22,,14,,7,,6,,17,,22,,20,1,21,,4,,1,,,,162,4,19,5,,,13,,5,,4,,9,,22,2,12,,9,,4,2,97,9,379,21,190,111,11
24479,23255,2203,1,1638,38,Bodleian-1638-38-recto,30,August,6,September,2,,1,1,1,,1,,,,2,,1,,2,,2,,5,2,,,2,,1,,3,,2,,2,1,,,1,,,,,,,,1,,1,,5,1,,,3,,,,,,1,,1,,1,,,,,,1,,3,,,,,,2,,1,,,,1,,1,,3,,3,,2,2,,,2,,3,,,,1,,3,1,,,,,2,2,,,2,,,,,,1,,,,,,,,2,,1,,1,,3,,1,,,,2,,1,,,,1,,2,,,,2,,2,,,,,,1,,,,1,,,,,,,,3,,,,1,,,,,,,,1,,1,,1,,1,,3,,,,,,103,10,15,1,,,,,13,,,,3,1,15,,11,2,4,1,10,,27,,23,,18,5,22,,3,,,,3,3,167,13,17,4,,,13,,8,,9,,11,,27,8,21,1,10,,1,,117,13,387,36,206,107,15
24480,23256,2204,1,1638,39,Bodleian-1638-39-recto,6,September,13,September,,,3,1,1,,2,,,,1,,,,2,1,1,,2,1,2,,,,2,,5,,3,,,,,,1,,2,,1,,2,,,,1,,10,3,,,,,,,7,1,1,1,2,,2,,,,,,,,2,,1,,1,,2,,,,1,,,,1,,1,,2,,,,,,1,,2,,1,,1,,4,2,,,,,2,2,1,,1,,,,,,2,,2,,,,,,1,,,,,,1,,,,1,,2,,,,,,1,,4,1,,,4,,2,,,,,,1,,2,,1,,1,,1,,,,,,1,1,,,2,,,,,,,,,,3,2,2,,1,,,,,,112,16,16,4,4,,1,,7,,,,4,,21,,17,,12,3,13,2,25,,21,,17,1,20,3,2,,1,,,,181,13,11,1,,,23,,3,,8,,13,,19,1,12,1,7,,4,2,100,5,393,34,203,102,20
24481,23257,2205,1,1638,40,Bodleian-1638-40-recto,13,September,20,September,2,1,1,,,,2,,1,1,2,,1,,,,3,,1,,,,,,3,,5,,2,,,,2,,,,,,,,1,,2,,1,,3,,1,,1,,1,,1,1,1,,2,,1,,,,,,,,4,,1,,,,,,1,,1,,2,,2,,,,,,1,1,,,6,,,,1,,2,,4,,,,,,2,,,,,,,,,,,,,,1,,,,1,,3,,,,1,,1,,,,1,,,,1,,1,,1,1,2,,1,,1,,1,,,,1,,,,1,,,,,,,,1,,1,,1,,,,,,,,1,,1,,,,,,1,1,,,2,,93,6,17,5,1,,1,,6,,,,4,,22,1,11,2,9,,6,,24,1,17,,12,,35,,1,,1,,3,2,170,11,10,4,,,17,,6,,9,,10,,29,2,28,1,11,,4,2,124,9,387,26,193,108,14
24482,23258,2206,1,1638,41,Bodleian-1638-41-recto,20,September,27,September,,,1,,1,,2,,1,,1,,1,,,,1,,,,,,1,,,,3,,1,,2,,1,,1,,,,1,,2,,1,,2,,2,,,,1,,,,2,,2,1,2,,1,,1,,,,,,,,1,,,,1,,1,,,,,,1,,,,1,,2,,,,3,,1,,,,,,2,,,,1,,1,,1,,,,,,1,,3,,1,,,,,,,,1,,2,,,,1,,1,,2,,1,,,,,,,,,,3,2,,,,,,,1,,1,,1,,,,1,,,,2,,1,,,,,,,,,,1,,,,3,,,,,,,,,,77,3,13,1,1,,1,,10,,1,,3,,16,,13,1,6,,9,,15,,13,,12,,16,2,1,,2,1,3,2,135,7,8,,,,19,1,5,,7,1,9,,30,2,23,4,8,,2,,111,8,323,18,203,112,10
